eventId,eventDate,longitude,latitude,depth,magnitudeType,magnitude,area
550060,"2023-02-19T01:08:57",38.527,38.149,7,"ML",3.4,"Sincik (Adıyaman)"
550047,"2023-02-19T00:53:32",36.646,38.074,7.01,"MW",3.6,"Göksun (Kahramanmaraş)"
550046,"2023-02-19T00:56:10",36.224,38.091,12.5,"MW",4.4,"Saimbeyli (Adana)"
550038,"2023-02-18T23:42:08",34.105,41.099,7,"ML",3.1,"Tosya (Kastamonu)"
550023,"2023-02-18T23:42:16",38.692,38.204,12.31,"MW",3.4,"Pütürge (Malatya)"
549993,"2023-02-18T21:52:51",37.017,37.21,6.97,"MW",3.6,"Şehitkamil (Gaziantep)"
549987,"2023-02-18T21:43:29",36.614,38.074,7.01,"ML",3.1,"Göksun (Kahramanmaraş)"
549986,"2023-02-18T21:52:03",36.65,38.055,6.88,"MW",3,"Göksun (Kahramanmaraş)"
549977,"2023-02-18T21:19:40",37.451,38.059,7.01,"MW",3.2,"Nurhak (Kahramanmaraş)"
549972,"2023-02-18T20:56:06",36.497,36.854,13.07,"MW",4.1,"Hassa (Hatay)"
549971,"2023-02-18T20:51:49",36.308,37.873,9.64,"MW",3.8,"Göksun (Kahramanmaraş)"
549969,"2023-02-18T20:36:36",35.93,36.204,7,"MW",3.5,"Samandağ (Hatay)"
549966,"2023-02-18T20:00:26",35.885,36.323,6.04,"ML",3.2,"Arsuz (Hatay)"
549956,"2023-02-18T19:37:22",38.474,38.086,6.93,"ML",3.2,"Sincik (Adıyaman)"
549954,"2023-02-18T19:47:07",36.592,38.067,7.1,"MW",3.8,"Göksun (Kahramanmaraş)"
549953,"2023-02-18T19:31:31",36.602,38.08,6.2,"MW",5.1,"Göksun (Kahramanmaraş)"
549947,"2023-02-18T19:10:20",36.767,37.202,5.61,"ML",3.3,"Nurdağı (Gaziantep)"
549943,"2023-02-18T18:57:49",37.558,38.144,6.99,"MW",3.4,"Elbistan (Kahramanmaraş)"
549940,"2023-02-18T18:44:46",38.638,38.195,7.69,"MW",3.7,"Pütürge (Malatya)"
549938,"2023-02-18T18:36:01",38.469,38.01,7.34,"MW",3.3,"Sincik (Adıyaman)"
549936,"2023-02-18T18:15:11",37.812,38.073,10.13,"ML",3.5,"Doğanşehir (Malatya)"
549932,"2023-02-18T18:00:19",38.528,38.112,10.17,"ML",3.4,"Sincik (Adıyaman)"
549931,"2023-02-18T18:03:29",34.918,40.586,9.73,"MW",3.6,"Merkez (Çorum)"
549928,"2023-02-18T17:54:02",34.913,40.582,11.66,"MW",3.7,"Merkez (Çorum)"
549926,"2023-02-18T17:44:34",40.151,39.158,7,"ML",3.3,"Karakoçan (Elazığ)"
549925,"2023-02-18T17:32:58",25.359,35.893,7.96,"MW",4.7,"Ege Denizi"
549921,"2023-02-18T17:34:33",37.782,37.831,10.93,"ML",3,"Gölbaşı (Adıyaman)"
549908,"2023-02-18T16:53:32",36.969,37.152,2.51,"ML",3.5,"Nurdağı (Gaziantep)"
549907,"2023-02-18T16:57:41",37.326,38.01,7,"MW",3.8,"Nurhak (Kahramanmaraş)"
549894,"2023-02-18T16:14:39",38.171,38.075,7,"MW",4.3,"Çelikhan (Adıyaman)"
549891,"2023-02-18T16:06:53",36.288,37.841,7,"MW",3.9,"Göksun (Kahramanmaraş)"
549857,"2023-02-18T14:12:00",36.432,36.687,7.2,"ML",3.1,"Hassa (Hatay)"
549836,"2023-02-18T13:09:26",37.338,37.618,5.9,"ML",3.1,"Pazarcık (Kahramanmaraş)"
549813,"2023-02-18T11:48:52",37.449,38.004,10.26,"ML",3.2,"Nurhak (Kahramanmaraş)"
549793,"2023-02-18T10:41:16",38.511,38.125,7.79,"ML",3.1,"Sincik (Adıyaman)"
549784,"2023-02-18T10:21:32",36.592,38.055,7.07,"ML",3,"Göksun (Kahramanmaraş)"
549783,"2023-02-18T10:14:20",37.456,38.004,7,"ML",3.4,"Nurhak (Kahramanmaraş)"
549757,"2023-02-18T09:33:16",36.353,38.229,12.26,"ML",3.1,"Tufanbeyli (Adana)"
549751,"2023-02-18T09:01:10",38.209,38.071,7.01,"ML",3,"Çelikhan (Adıyaman)"
549739,"2023-02-18T08:30:51",36.433,38.002,7.02,"ML",3.1,"Göksun (Kahramanmaraş)"
549715,"2023-02-18T07:24:59",36.492,37.97,7,"ML",3.3,"Göksun (Kahramanmaraş)"
549714,"2023-02-18T07:23:37",37.356,37.986,6.99,"ML",3.1,"Nurhak (Kahramanmaraş)"
549709,"2023-02-18T07:19:54",36.343,36.52,7,"ML",3,"Kırıkhan (Hatay)"
549706,"2023-02-18T07:21:33",37.391,38.002,12.26,"MW",3.9,"Nurhak (Kahramanmaraş)"
549685,"2023-02-18T06:29:50",36.589,38.071,7,"MW",3.9,"Göksun (Kahramanmaraş)"
549683,"2023-02-18T06:03:07",37.004,37.277,6.67,"ML",3,"Pazarcık (Kahramanmaraş)"
549676,"2023-02-18T03:17:13",38.248,38.274,6.99,"ML",3.2,"Yeşilyurt (Malatya)"
549672,"2023-02-18T05:44:31",36.313,37.92,7,"ML",3.2,"Göksun (Kahramanmaraş)"
549666,"2023-02-18T03:50:01",36.429,37.858,6.99,"MW",3.7,"Göksun (Kahramanmaraş)"
549661,"2023-02-18T02:51:36",36.625,37.854,7.04,"ML",3.1,"Onikişubat (Kahramanmaraş)"
549659,"2023-02-18T05:40:39",37.866,38.135,7,"ML",3.4,"Doğanşehir (Malatya)"
549653,"2023-02-18T04:25:19",36.801,37.331,7,"ML",3.4,"Türkoğlu (Kahramanmaraş)"
549652,"2023-02-18T05:26:04",37.17,38.076,15.04,"ML",4.1,"Ekinözü (Kahramanmaraş)"
549645,"2023-02-18T04:38:42",36.267,37.984,7,"ML",3.1,"Göksun (Kahramanmaraş)"
549643,"2023-02-18T04:35:54",36.481,36.788,10.96,"ML",3.2,"Hassa (Hatay)"
549629,"2023-02-18T03:16:29",36.596,37.99,7,"ML",3.4,"Onikişubat (Kahramanmaraş)"
549622,"2023-02-18T02:19:52",36.984,38.073,7.32,"ML",3.6,"Göksun (Kahramanmaraş)"
549621,"2023-02-18T02:16:39",36.301,37.95,3.45,"ML",3.2,"Göksun (Kahramanmaraş)"
549610,"2023-02-18T02:15:23",36.715,37.206,7,"ML",3.1,"Nurdağı (Gaziantep)"
549602,"2023-02-18T01:36:57",36.607,37.92,6.94,"ML",3.8,"Onikişubat (Kahramanmaraş)"
549580,"2023-02-18T00:02:47",37.216,37.567,6.99,"ML",3.1,"Dulkadiroğlu (Kahramanmaraş)"
549573,"2023-02-17T23:58:48",27.82,39.444,13.23,"ML",3.2,"Altıeylül (Balıkesir)"
549555,"2023-02-17T22:28:50",36.489,37.9,7,"ML",3,"Göksun (Kahramanmaraş)"
549554,"2023-02-17T22:19:35",37.489,38.367,7,"ML",3,"Elbistan (Kahramanmaraş)"
549549,"2023-02-17T22:10:48",36.669,37.879,7,"ML",3.5,"Onikişubat (Kahramanmaraş)"
549547,"2023-02-17T21:52:30",36.857,38.06,5.07,"ML",3.6,"Göksun (Kahramanmaraş)"
549544,"2023-02-17T21:41:19",38.193,38.031,7.01,"ML",3,"Çelikhan (Adıyaman)"
549543,"2023-02-17T21:30:11",37.568,38.008,6.96,"ML",3.1,"Nurhak (Kahramanmaraş)"
549534,"2023-02-17T20:59:46",36.725,38.105,6.93,"ML",3.2,"Göksun (Kahramanmaraş)"
549530,"2023-02-17T20:45:24",36.3,37.846,7,"ML",3.3,"Göksun (Kahramanmaraş)"
549522,"2023-02-17T20:39:51",37.152,37.404,12.36,"ML",3,"Pazarcık (Kahramanmaraş)"
549514,"2023-02-17T19:44:08",42.146,41.906,7,"ML",3.3,"Ozurgeti, Guria (Gürcistan) - [49.09 km] Borçka (Artvin)"
549510,"2023-02-17T19:43:34",36.538,38.085,6.95,"ML",3.2,"Göksun (Kahramanmaraş)"
549509,"2023-02-17T19:42:09",36.694,38.013,7,"ML",3.1,"Göksun (Kahramanmaraş)"
549508,"2023-02-17T19:31:30",36.536,37.977,7,"ML",3.7,"Göksun (Kahramanmaraş)"
549505,"2023-02-17T19:33:45",44.931,38.558,7,"ML",3.6,"Khoy, West Azarbaijan (İran) - [49.66 km] Başkale (Van)"
549498,"2023-02-17T19:10:37",38.223,38.242,7,"ML",4,"Yeşilyurt (Malatya)"
549491,"2023-02-17T18:15:49",36.301,37.876,6.97,"ML",3.1,"Göksun (Kahramanmaraş)"
549483,"2023-02-17T18:28:25",37.274,37.595,12.75,"MW",4,"Pazarcık (Kahramanmaraş)"
549479,"2023-02-17T17:43:44",37.768,37.375,6.33,"ML",3.2,"Yavuzeli (Gaziantep)"
549452,"2023-02-17T16:38:23",36.565,37.955,7,"ML",3.1,"Onikişubat (Kahramanmaraş)"
549446,"2023-02-17T16:33:57",36.324,37.876,7,"ML",4,"Göksun (Kahramanmaraş)"
549445,"2023-02-17T16:24:29",36.871,37.361,8.87,"ML",3.2,"Türkoğlu (Kahramanmaraş)"
549444,"2023-02-17T16:20:40",36.297,37.919,6.68,"ML",3.8,"Göksun (Kahramanmaraş)"
549440,"2023-02-17T15:33:22",35.654,35.218,7.2,"ML",3.2,"Akdeniz"
549433,"2023-02-17T15:50:18",38.585,38.052,7,"ML",3.3,"Sincik (Adıyaman)"
549422,"2023-02-17T15:34:37",39.665,38.627,7,"MW",4.6,"Merkez (Elazığ)"
549414,"2023-02-17T15:01:29",37.792,37.857,7.62,"ML",3.8,"Gölbaşı (Adıyaman)"
549413,"2023-02-17T14:58:55",36.322,37.94,10.11,"MW",4.5,"Göksun (Kahramanmaraş)"
549377,"2023-02-17T13:58:46",37.069,37.286,6.18,"ML",3.2,"Pazarcık (Kahramanmaraş)"
549367,"2023-02-17T13:48:45",38.601,38.079,7.38,"ML",3.1,"Sincik (Adıyaman)"
549295,"2023-02-17T12:41:15",36.602,37.853,7.27,"ML",3,"Onikişubat (Kahramanmaraş)"
549285,"2023-02-17T12:10:27",38.615,38.1,5.18,"ML",3.2,"Pütürge (Malatya)"
549276,"2023-02-17T12:20:56",37.018,37.311,15.25,"ML",3.3,"Türkoğlu (Kahramanmaraş)"
549249,"2023-02-17T11:48:49",37.746,38.032,7,"ML",3.3,"Doğanşehir (Malatya)"
549220,"2023-02-17T10:57:03",36.226,37.873,6.76,"ML",3.9,"Saimbeyli (Adana)"
549218,"2023-02-17T10:48:07",36.291,37.876,6.92,"ML",3.7,"Göksun (Kahramanmaraş)"
549206,"2023-02-17T10:25:05",36.567,38.133,6.7,"ML",3.1,"Göksun (Kahramanmaraş)"
549194,"2023-02-17T09:48:12",26.303,39.376,6.46,"ML",3,"Ege Denizi - [13.11 km] Ayvacık (Çanakkale)"
549179,"2023-02-17T09:40:23",41.971,41.837,7,"ML",3.1,"Kobuleti, Acara (Gürcistan) - [39.32 km] Borçka (Artvin)"
549113,"2023-02-17T08:29:25",38.171,38.161,21.88,"ML",3.2,"Yeşilyurt (Malatya)"
549092,"2023-02-17T08:24:12",36.531,38.057,12.12,"ML",3,"Göksun (Kahramanmaraş)"
549000,"2023-02-17T06:30:04",36.886,37.373,10.48,"ML",3.2,"Türkoğlu (Kahramanmaraş)"
548980,"2023-02-17T06:06:09",38.192,38.257,7,"MW",4.1,"Yeşilyurt (Malatya)"
548978,"2023-02-17T05:45:47",36.051,36.121,6.17,"ML",3.2,"Samandağ (Hatay)"
548977,"2023-02-17T05:50:14",36.137,36.288,7.09,"MW",3.6,"Antakya (Hatay)"
548976,"2023-02-17T05:57:15",37.668,38.027,6.99,"MW",3.2,"Doğanşehir (Malatya)"
548958,"2023-02-17T04:49:00",37.534,37.728,7,"ML",3.5,"Gölbaşı (Adıyaman)"
548952,"2023-02-17T04:35:45",37.042,37.406,12.14,"ML",3.3,"Dulkadiroğlu (Kahramanmaraş)"
548902,"2023-02-17T02:47:35",37.37,38.123,6.66,"MW",3.6,"Elbistan (Kahramanmaraş)"
548899,"2023-02-17T02:33:37",36.316,37.947,11.45,"ML",3.4,"Göksun (Kahramanmaraş)"
548894,"2023-02-17T02:22:03",36.966,42.014,27.87,"ML",3.2,"Karadeniz - [74.61 km] Çarşamba (Samsun)"
548893,"2023-02-17T02:26:32",36.31,37.951,7.04,"ML",3.3,"Göksun (Kahramanmaraş)"
548892,"2023-02-17T02:27:33",36.311,37.925,7.03,"ML",3.1,"Göksun (Kahramanmaraş)"
548875,"2023-02-17T01:42:21",36.442,38.05,7.08,"ML",3.1,"Göksun (Kahramanmaraş)"
548864,"2023-02-17T01:27:26",36.339,37.884,7.04,"ML",3.4,"Göksun (Kahramanmaraş)"
548847,"2023-02-17T00:49:18",37.216,37.522,6.6,"MW",4,"Pazarcık (Kahramanmaraş)"
